"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","ScanDirectionFlag","EdgeOfFlightLine","Classification","Synthetic","KeyPoint","Withheld","Overlap","ScanAngleRank","UserData","PointSourceId","GpsTime","Red","Green","Blue"
-5595.533,-35106.161,3.659,457.000,2.000,2.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.233,18761.000,19275.000,20560.000
-5597.957,-35107.563,3.580,354.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.240,22102.000,22616.000,22873.000
-5597.252,-35107.279,3.615,432.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.240,22102.000,22873.000,23387.000
-5596.559,-35106.989,3.625,456.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.240,19789.000,20303.000,21588.000
-5595.851,-35106.686,3.668,881.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.240,19532.000,20560.000,21331.000
-5595.124,-35106.395,3.668,346.000,2.000,2.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.240,19018.000,20046.000,20817.000
-5596.893,-35107.556,3.610,546.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.247,19789.000,20560.000,21331.000
-5596.197,-35107.269,3.625,586.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.247,20560.000,20817.000,22102.000
-5594.773,-35106.679,3.674,23.000,3.000,3.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.247,18761.000,19789.000,21074.000
-5599.896,-35109.198,3.406,1287.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.253,21074.000,22102.000,22359.000
